packet_id,timestamp,length,direction
703,43.83903741836548,92,1
704,43.841058015823364,74,1
705,43.8742516040802,60,-1
706,43.88002061843872,60,-1
707,43.88039994239807,60,-1
708,43.880406856536865,60,-1
709,43.88041019439697,60,-1
710,43.880412340164185,60,-1
711,43.8805718421936,66,-1
712,43.880573749542236,60,-1
713,43.8830144405365,54,1
714,43.88469195365906,312,1
715,43.92199110984802,60,-1
716,43.92555832862854,60,-1
717,43.926456689834595,191,-1
718,43.933279514312744,54,1
719,43.933732748031616,105,1
720,43.94996356964111,1514,-1
721,43.9501473903656,1514,-1
722,43.950262784957886,1514,-1
723,43.95040583610535,1514,-1
724,43.95058512687683,1514,-1
725,43.950762033462524,1514,-1
726,43.95088720321655,1514,-1
727,43.951003551483154,1514,-1
728,43.951133012771606,1514,-1
729,43.95132803916931,1514,-1
730,43.95186471939087,54,1
731,43.95275402069092,54,1
732,43.953041076660156,54,1
733,43.95389485359192,54,1
734,43.9541392326355,54,1
735,43.95503044128418,54,1
736,43.955175161361694,54,1
737,43.96104335784912,54,1
738,43.9612181186676,54,1
739,43.989790201187134,1514,-1
740,43.99009609222412,1514,-1
741,43.99477195739746,1514,-1
742,43.99498224258423,1514,-1
743,43.99512457847595,1514,-1
744,43.99524521827698,1514,-1
745,43.99537372589111,1514,-1
746,43.99555969238281,1514,-1
747,43.99556064605713,1514,-1
748,43.995726108551025,662,-1
749,43.99619746208191,54,1
750,43.99826431274414,54,1
751,43.99847745895386,54,1
752,44.000200271606445,54,1
753,44.00037431716919,54,1
754,44.010987281799316,96,1
755,44.0130352973938,74,1
756,44.020228147506714,60,-1
757,44.0219349861145,782,1
758,44.04858040809631,60,-1
759,44.05405640602112,66,-1
760,44.058748722076416,54,1
761,44.06012296676636,60,-1
762,44.061110496520996,312,1
763,44.06635069847107,419,-1
764,44.07287120819092,85,1
765,44.073105812072754,54,1
766,44.09743356704712,60,-1
767,44.10150504112244,60,-1
768,44.101834774017334,191,-1
769,44.11029005050659,60,-1
770,44.110291481018066,60,-1
771,44.11432075500488,54,1
772,44.1144962310791,54,1
773,44.130470752716064,105,1
774,44.163947105407715,287,1
775,44.18009972572327,190,1
776,44.18114972114563,1514,1
777,44.18147826194763,1514,1
778,44.181947231292725,1174,1
779,44.181968688964844,136,1
780,44.18243193626404,92,1
781,44.201495885849,60,-1
782,44.214842081069946,60,-1
783,44.21826982498169,60,-1
784,44.21879434585571,287,1
785,44.21915245056152,1514,1
786,44.22095561027527,1514,1
787,44.22097826004028,788,1
788,44.22099328041077,1306,1
789,44.221009492874146,136,1
790,44.221107482910156,92,1
791,44.224514961242676,60,-1
792,44.22451615333557,60,-1
793,44.257014989852905,60,-1
794,44.26261639595032,60,-1
795,44.26298975944519,60,-1
796,44.26818609237671,419,-1
797,44.270058155059814,85,1
798,44.27024531364441,54,1
799,44.308565855026245,60,-1
800,44.31297492980957,54,1
801,44.34014630317688,146,-1
802,44.34014868736267,92,-1
803,44.345826148986816,54,1
804,44.40389084815979,146,-1
805,44.40389347076416,92,-1
806,44.40908098220825,54,1
807,44.548123598098755,475,-1
808,44.55903196334839,74,1
809,44.5852575302124,54,1
810,44.58688521385193,146,-1
811,44.5868866443634,92,-1
812,44.59105682373047,54,1
813,44.59127402305603,54,1
814,44.5957612991333,66,-1
815,44.59705376625061,54,1
816,44.598663330078125,312,1
817,44.63715696334839,60,-1
818,44.637287855148315,60,-1
819,44.63728880882263,191,-1
820,44.64227747917175,54,1
821,44.6426146030426,105,1
822,44.72531533241272,60,-1
823,44.7302188873291,799,1
824,44.76576542854309,60,-1
825,44.770328760147095,419,-1
826,44.77236533164978,85,1
827,44.772541999816895,54,1
828,44.82881188392639,60,-1
829,44.83033990859985,54,1
830,48.05514144897461,287,1
831,48.05544829368591,190,1
832,48.055856466293335,1514,1
833,48.055898904800415,1514,1
834,48.05592918395996,1174,1
835,48.055976152420044,136,1
836,48.05613303184509,92,1
837,48.093738317489624,60,-1
838,48.09925127029419,287,1
839,48.09954118728638,60,-1
840,48.09978485107422,60,-1
841,48.09981632232666,60,-1
842,48.09981870651245,60,-1
843,48.099820375442505,60,-1
844,48.10062313079834,190,1
845,48.10233163833618,1514,1
846,48.103522300720215,1514,1
847,48.10356426239014,1174,1
848,48.103622913360596,136,1
849,48.10467505455017,92,1
850,48.13749980926514,60,-1
851,48.143261671066284,60,-1
852,48.14427709579468,60,-1
853,48.144280672073364,60,-1
854,48.14428234100342,60,-1
855,48.14802050590515,60,-1
856,48.198848247528076,146,-1
857,48.1988525390625,92,-1
858,48.20403456687927,54,1
859,48.204222440719604,54,1
860,48.36951208114624,146,-1
861,48.369516134262085,92,-1
862,48.37446689605713,54,1
863,48.37465190887451,54,1
864,48.562737703323364,288,1
865,48.56375980377197,190,1
866,48.563897371292114,1514,1
867,48.56394028663635,1514,1
868,48.56417751312256,1169,1
869,48.564220905303955,136,1
870,48.564372062683105,92,1
871,48.60444641113281,60,-1
872,48.60445213317871,60,-1
873,48.6044545173645,60,-1
874,48.60445690155029,60,-1
875,48.604458808898926,60,-1
876,48.604732036590576,60,-1
877,48.604734659194946,60,-1
878,48.60473656654358,96,-1
879,48.61053705215454,54,1
880,48.71756052970886,146,-1
881,48.71756291389465,92,-1
882,48.72255229949951,54,1
883,48.72270488739014,54,1
884,60.00023651123047,100,-1
885,60.00956153869629,54,1
886,60.00979924201965,100,1
887,60.09852457046509,60,-1
888,63.44871497154236,66,-1
889,63.48560547828674,66,1
890,79.19730877876282,640,1
891,79.1976535320282,190,1
892,79.20398306846619,1514,1
893,79.20468544960022,1514,1
894,79.20617890357971,1470,1
895,79.21062397956848,132,1
896,79.2118673324585,1514,1
897,79.21196413040161,1514,1
898,79.21208143234253,1514,1
899,79.21211743354797,1514,1
900,79.23640370368958,74,1
901,79.23809146881104,60,-1
902,79.24366164207458,688,1
903,79.24405288696289,60,-1
904,79.24405527114868,60,-1
905,79.25076818466187,60,-1
906,79.25077176094055,60,-1
907,79.25478601455688,60,-1
908,79.25478959083557,60,-1
909,79.25479197502136,60,-1
910,79.2552969455719,60,-1
911,79.25596308708191,60,-1
912,79.27800393104553,66,-1
913,79.279217004776,1514,1
914,79.27964472770691,1514,1
915,79.28062009811401,1514,1
916,79.28066825866699,1392,1
917,79.28072881698608,54,1
918,79.28187465667725,312,1
919,79.28206062316895,60,-1
920,79.30756402015686,172,1
921,79.3082230091095,172,1
922,79.3175539970398,60,-1
923,79.32395243644714,60,-1
924,79.32395529747009,60,-1
925,79.32768607139587,172,1
926,79.32858729362488,60,-1
927,79.32859015464783,60,-1
928,79.32874512672424,191,-1
929,79.33075141906738,54,1
930,79.33120512962341,105,1
931,79.34486317634583,60,-1
932,79.34944891929626,60,-1
933,79.35540103912354,146,-1
934,79.35540318489075,92,-1
935,79.35555577278137,172,1
936,79.35734272003174,54,1
937,79.37723445892334,172,1
938,79.39082288742065,172,1
939,79.39296793937683,60,-1
940,79.40447235107422,172,1
941,79.41738557815552,60,-1
942,79.41930651664734,765,1
943,79.42904472351074,60,-1
944,79.45334100723267,172,1
945,79.45417141914368,172,1
946,79.4602472782135,60,-1
947,79.46712803840637,419,-1
948,79.4678385257721,172,1
949,79.46924185752869,85,1
950,79.46943187713623,54,1
951,79.48821878433228,172,1
952,79.48859214782715,60,-1
953,79.49132704734802,60,-1
954,79.49617147445679,60,-1
955,79.50578951835632,60,-1
